Wavelength,Cext,Qext,Csca,Qsca
360.0,7.910382825055699e-10,2.0802132197132304,4.3267252427064223e-10,1.1368678300913324
360.9812108559499,7.910741437187212e-10,2.0803487699087135,4.3268587058877097e-10,1.1369467208497497
361.9624217118998,7.911099451905224e-10,2.080482607881645,4.3269917393074055e-10,1.1370245517346875
362.9436325678497,7.911456940313914e-10,2.0806155553433867,4.3271245675292866e-10,1.1371020175494504
363.9248434237996,7.911814104980185e-10,2.0807491341577595,4.327257350939494e-10,1.1371796448633111
364.90605427974947,7.912171220907637e-10,2.0808850768808513,4.3273901793415977e-10,1.1372576987394818
365.8872651356994,7.912514984371802e-10,2.0810208308031135,4.328197088374682e-10,1.1371360223313536
366.8684759916493,7.912872209191095e-10,2.0811628203318984,4.328329264335719e-10,1.137212913442413
367.8496868475992,7.913229486786264e-10,2.0813074892469525,4.328461589723054e-10,1.1372905320122224
368.83089770354906,7.913586760714251e-10,2.081453985983549,4.328594146080189e-10,1.137369222332626
369.812108559499,7.913944046870263e-10,2.0816017845334835,4.3287270007022557e-10,1.137449228221203
370.7933194154489,7.91430145313226e-10,2.0817508339437807,4.3288601857789935e-10,1.1375305374144364
371.77453027139876,7.914659091013687e-10,2.081901018560259,4.328993702274718e-10,1.1376128658376559
372.75574112734864,7.915016991691667e-10,2.082051633802208,4.329127550489255e-10,1.1376958566799293
373.7369519832986,7.915375105519969e-10,2.0822015359160937,4.32926176304201e-10,1.137779360738258
374.71816283924846,7.915733366922333e-10,2.082349858294924,4.3293964059179583e-10,1.1378635331628342
375.69937369519835,7.916088179560216e-10,2.0824864940612957,4.330569094085074e-10,1.1382069930881369
376.68058455114823,7.916446074026778e-10,2.0826313147583533,4.3307040160653835e-10,1.1382913797153706
377.66179540709817,7.916804289808748e-10,2.082775865598788,4.3308393818295793e-10,1.1383768279731017
378.64300626304805,7.917162874186158e-10,2.0829204240797887,4.330975113311049e-10,1.1384632118759053
379.62421711899793,7.91752173641595e-10,2.0830646161466193,4.331111140184525e-10,1.138550500128766
380.6054279749478,7.917880679375311e-10,2.0832081277611243,4.331247410121471e-10,1.1386389051142032
381.58663883089775,7.918239510961034e-10,2.083351537794723,4.3313838952249e-10,1.1387288912725897
382.5678496868476,7.918598158933615e-10,2.083496484001702,4.3315205765763965e-10,1.1388209895350467
383.5490605427975,7.918956684603971e-10,2.0836448806086887,4.3316573952554136e-10,1.138915462466986
384.5302713987474,7.919315160124611e-10,2.08379770178111,4.331794231530881e-10,1.1390120720546242
385.51148225469734,7.919684447437275e-10,2.0839381093367617,4.3331004585787596e-10,1.1398784959500647
386.49269311064717,7.920043057039215e-10,2.0840974460643853,4.3332386592527013e-10,1.1399809123788673
387.4739039665971,7.920401386975013e-10,2.0842579882701298,4.33337663770008e-10,1.140083741455307
388.455114822547,7.92075923540297e-10,2.0844183355549033,4.333514256228478e-10,1.140186364950516
389.4363256784969,7.92111640793539e-10,2.0845777578117586,4.333651370208401e-10,1.1402883470936764
390.41753653444675,7.921472713227742e-10,2.084735669314437,4.3337878445078467e-10,1.1403893561905714
391.3987473903967,7.921828006160031e-10,2.0848915274498956,4.333923570859661e-10,1.1404891949190155
392.3799582463466,7.922182222530229e-10,2.085045214910468,4.3340584924880345e-10,1.1405879035701043
393.3611691022965,7.922535374189678e-10,2.085197271290079,4.3341926086713054e-10,1.140685748711938
394.34237995824634,7.922887524739553e-10,2.0853486451160235,4.3343259399710524e-10,1.1407830268572567
395.3235908141963,7.923272930687051e-10,2.085511010606143,4.335611131488356e-10,1.1421584979335624
396.30480167014616,7.923624066540197e-10,2.0856640260930543,4.3357462354953364e-10,1.1422618339011117
397.2860125260961,7.923974224926733e-10,2.0858168842790197,4.3358804115768254e-10,1.1423640009757672
398.2672233820459,7.924323369593968e-10,2.0859682912971995,4.336013650013217e-10,1.142464448221653
399.24843423799587,7.924671466146357e-10,2.0861168063257907,4.336145990939157e-10,1.142562788360917
400.22964509394575,7.925018531251396e-10,2.086261522639268,4.336277534229503e-10,1.1426589265878968
401.21085594989563,7.925364678181561e-10,2.086402472193223,4.336408431419435e-10,1.1427530942230357
402.1920668058455,7.925710102088914e-10,2.086540449731914,4.336538857646738e-10,1.1428457740773947
403.17327766179545,7.926055007992661e-10,2.0866765346162786,4.3366689809355766e-10,1.1429375662937198
404.15448851774534,7.926399574718976e-10,2.0868118451084725,4.3367989593629333e-10,1.1430291096360379
405.1356993736952,7.92678466064048e-10,2.086968558189363,4.338059842811308e-10,1.1448926580379377
406.1169102296451,7.927127832367222e-10,2.0871031386148085,4.3381929851399835e-10,1.1449917735398933
407.09812108559504,7.927471123613299e-10,2.0872399800912844,4.338326542113961e-10,1.1450924631959951
408.0793319415449,7.927814877519521e-10,2.0873800403328517,4.3384607466608797e-10,1.1451951561163
409.0605427974948,7.928159406457177e-10,2.0875238740753077,4.3385957890255237e-10,1.1452999719565604
410.0417536534447,7.928504869337449e-10,2.0876713992414015,4.3387318240472144e-10,1.1454066752867877
411.0229645093946,7.928851217614101e-10,2.087821763104168,4.338868870960962e-10,1.1455146100528069
412.0041753653445,7.929198232764074e-10,2.087973441476057,4.3390067629404014e-10,1.145622847744052
412.9853862212944,7.929545653984036e-10,2.088124687985747,4.339145314079361e-10,1.1457306191623258
413.9665970772443,7.929893312778233e-10,2.0882740930381214,4.339284442193241e-10,1.1458376207290137
414.9478079331942,7.930241128067059e-10,2.0884210228747793,4.3394240516480045e-10,1.1459439397149058
415.9290187891441,7.930625943069193e-10,2.0885802936600686,4.340778707010289e-10,1.1483356635686781
