lambda,beta_abs
3.6e-07,0.0
3.935714285714286e-07,0.0
4.271428571428571e-07,0.0
4.607142857142857e-07,0.0
4.942857142857143e-07,0.0
5.278571428571428e-07,0.0
5.614285714285714e-07,0.0
5.95e-07,0.0
6.285714285714286e-07,0.0
6.621428571428571e-07,0.0
6.957142857142857e-07,0.0
7.292857142857143e-07,0.0
7.628571428571428e-07,0.0
7.964285714285715e-07,0.0
8.3e-07,0.0
