lambda,beta_sca
3.6e-07,4.249779592173634e-05
3.935714285714286e-07,3.9055021025155105e-05
4.271428571428571e-07,3.726268267033905e-05
4.607142857142857e-07,3.3852090191960265e-05
4.942857142857143e-07,3.060326218525237e-05
5.278571428571428e-07,2.9859179455818312e-05
5.614285714285714e-07,2.784171924025817e-05
5.95e-07,2.4009227416110323e-05
6.285714285714286e-07,2.4127794643069284e-05
6.621428571428571e-07,2.155076095051257e-05
6.957142857142857e-07,1.9716588700472474e-05
7.292857142857143e-07,1.815623403678889e-05
7.628571428571428e-07,1.634102694263654e-05
7.964285714285715e-07,1.7241368798117323e-05
8.3e-07,1.3603853719445442e-05
