lambda,ior
3.6e-07,0.00028538047221382534
3.935714285714286e-07,0.0002831882745812919
4.271428571428571e-07,0.0002815265641247233
4.607142857142857e-07,0.00028023514201769295
4.942857142857143e-07,0.000279210566035637
5.278571428571428e-07,0.00027838344179809127
5.614285714285714e-07,0.0002777057159164542
5.95e-07,0.00027714320887928245
6.285714285714286e-07,0.0002766710439734421
6.621428571428571e-07,0.0002762707502508288
6.957142857142857e-07,0.00027592837079382093
7.292857142857143e-07,0.000275633194873226
7.628571428571428e-07,0.0002753768885670471
7.964285714285715e-07,0.0002751528863826902
8.3e-07,0.0002749559577310823
