Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
455,"Atira Mons",152,52.2,-92.4,
456,"Atla Regio",3200,9.2,-159.9,
461,"Atropos Tessera",469,71.5,-56,
462,"Atse Estsan Corona",150,8.5,92,
463,"Atsyrkhus Mons",170,-78.5,-133,
464,"Attabeira Corona",240,-1.5,-148.5,
467,"Audhumla Corona",225,45.5,12,
469,"Audra Planitia",1900,61,72,
470,"Audrey",15.2,23.8,-11.9,
472,"Aurelia",31.1,20.3,-28.2,
478,"Auska Dorsum",361,59.9,-2.2,
483,"Austen",45.1,-25,168.4,
492,"Austrina Vallis",600,-49.5,177,
498,"Aušrā Dorsa",859,49.4,25.3,
502,"Avene",10,40.4,149.4,
508,"Avfruvva Vallis",70,2,70,
512,"Avviyar",20.6,-18,-6.3,
513,"Awenhai Mons",100,-60,-112,
518,"Ayana",13.8,-29.2,175.5,
519,"Ayashe",6.7,22.7,31.4,
520,"Ayisatu",7,34.6,5.5,
522,"Ayrton Patera",85,6,-132.7,
530,"Baba-Jaga Chasma",580,53.2,49.5,
538,"Bachira",7.3,26.5,10,
540,"Bachue Corona",463,73.3,-98.6,
547,"Badarzewska",29.6,-22.6,137.2,
548,"Badb Linea",1750,14,15,
554,"Bagbartu Mons",600,65.5,-81,
559,"Bahriyat",5,50.3,-2.5,
564,"Baker",109,62.5,40.3,
565,"Bakhtadze Patera",50,45.5,-140.5,
567,"Bakisat",7.4,26,-3.2,
572,"Balch",40,29.9,-77.1,
584,"Baltis Vallis",6000,37.3,161.4,
591,"Ban Zhao",39,17.1,147,
593,"Banba Corona",110,-47.2,-150.8,
598,"Banumbirr Vallis",400,-7,4,
602,"Baranamtarra",25.5,17.9,-92.2,
603,"Barauka",12.9,10.6,-13.7,
604,"Barbale Dorsa",1200,15,143,
611,"Barnes Patera",15,-15.5,-130.8,
614,"Barrera",27,16.6,109.4,
618,"Barrymore",56.6,-52.3,-164.3,
619,"Barsova",76,61.3,-137,
622,"Barto",48,45.3,146.3,
623,"Barton",52.2,27.4,-22.5,
