Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
710,"Berosus",75.24,33.5,69.99,
716,"Berzelius",48.53,36.55,50.95,
719,"Bessarion",9.84,14.85,-37.31,
720,"Bessel",15.56,21.73,17.92,
724,"Bettinus",71.78,-63.4,-45.16,
727,"Bečvář",66.62,-2.57,125.07,
728,"Bhabha",70.25,-55.5,-165.31,
734,"Bianchini",37.59,48.78,-34.37,
739,"Biela",77.03,-54.99,51.63,
745,"Bilharz",44.55,-5.83,56.34,
747,"Billy",45.57,-13.83,-50.24,
749,"Bingham",34.99,8.02,115.05,
750,"Biot",13.01,-22.7,51.08,
752,"Birkeland",81.64,-30.17,174.01,
753,"Birkhoff",329.81,58.45,-145.65,
754,"Birmingham",89.92,65.12,-10.7,
755,"Birt",15.81,-22.36,-8.59,
759,"Bjerknes",48.18,-38.5,113.69,
762,"Black",19.46,-9.2,80.39,
764,"Blackett",145.31,-37.55,-115.84,
765,"Blagg",4.97,1.22,1.46,
767,"Blancanus",105.82,-63.77,-21.63,
768,"Blanchard",37.46,-58.25,-93.5,
770,"Blanchinus",59.9,-25.32,2.44,
773,"Blazhko",51.11,31.37,-147.86,
776,"Bliss",22.85,53.04,-13.78,
779,"Block",0.01,-3.01,-23.42,
786,"Bobillier",6.04,19.63,15.44,
787,"Bobone",32.14,26.7,-132.12,
790,"Bode",17.8,6.71,-2.45,
793,"Boethius",11.17,5.57,72.33,
796,"Boguslawsky",94.59,-72.9,43.26,
797,"Bohnenberger",31.74,-16.24,40.06,
798,"Bohr",70.07,12.71,-86.52,
800,"Bok",43.03,-20.26,-171.58,
805,"Boltzmann",72.31,-74.82,-90.41,
806,"Bolyai",102.22,-33.85,126.12,
808,"Bombelli",9.72,5.28,56.19,
813,"Bondarenko",28.26,-17.24,136.89,
817,"Bonpland",59.25,-8.38,-17.33,
818,"Boole",61.34,63.79,-87.29,
820,"Borda",45.4,-25.2,46.52,
824,"Borel",4.66,22.37,26.42,
826,"Boris",1.73,30.53,-33.5,
827,"Borman",50.72,-39.06,-148.25,
828,"Born",15.07,-6.05,66.83,
831,"Boscovich",41.53,9.71,11.01,
832,"Bose",92.55,-53.95,-169.36,
836,"Boss",50.2,45.75,88.68,
839,"Bouguer",22.23,52.32,-35.82,
844,"Boussingault",127.61,-70.21,53.73,
846,"Bowditch",43.04,-24.97,103.07,
847,"Bowen",8.09,17.63,9.1,
848,"Bowen-Apollo",0.3,20.27,30.87,
851,"Boyle",57.13,-53.29,177.89,
855,"Brackett",8.87,17.84,23.54,
857,"Bragg",77.21,42.33,-103.44,
864,"Brashear",60.16,-73.54,-171.57,
866,"Brayley",14.17,20.9,-36.94,
868,"Bredikhin",61.68,17.25,-158.37,
869,"Breislak",48.64,-48.31,18.31,
873,"Brenner",90.01,-39.09,39.11,
874,"Brewster",9.83,23.27,34.69,
875,"Brianchon",137.26,74.75,-88.36,
877,"Bridge",0.69,26.04,3.51,
880,"Bridgman",81.89,43.39,136.98,
881,"Briggs",36.75,26.45,-69.19,
883,"Brisbane",44.32,-49.2,68.76,
887,"Bronk",66.16,25.9,-134.67,
889,"Brontë",0.21,20.17,30.67,
893,"Brouwer",119.6,-35.82,-124.75,
894,"Brown",34.03,-46.53,-17.99,
897,"Bruce",6.14,1.16,0.37,
900,"Brunner",50.66,-9.86,90.91,
906,"Buch",51.31,-38.9,17.68,
910,"Buffon",105.76,-40.64,-133.53,
913,"Buisson",61.27,-1.47,112.95,
917,"Bullialdus",60.72,-20.75,-22.26,
920,"Bunsen",55.22,41.4,-85.46,
922,"Burckhardt",54.36,31.11,56.39,
925,"Burnham",24.09,-13.92,7.25,
934,"Butlerov",38.77,12.05,-108.81,
939,"Buys-Ballot",66.38,20.86,174.82,
941,"Byrd",97.49,85.43,10.07,
943,"Byrgius",84.46,-24.73,-65.38,
947,"Béla",10.07,24.67,2.27,
948,"Bürg",41.04,45.07,28.21,
949,"Büsching",53.49,-38.04,19.96,
950,"C. Herschel",13.7,34.48,-31.29,
951,"C. Mayer",37.54,63.26,17.31,
952,"Cabannes",81.3,-61.24,-170.21,
953,"Cabeus",100.58,-85.33,-42.13,
960,"Cailleux",52.85,-60.41,153.5,
964,"Cajal",8.57,12.59,31.08,
965,"Cajori",74.65,-47.67,168.7,
972,"Calippus",34.03,38.92,10.72,
984,"Camelot",0.61,20.19,30.73,
986,"Cameron",10.91,6.19,45.93,
989,"Campanus",46.41,-28.04,-27.9,
990,"Campbell",222.48,45.57,152.91,
1004,"Cannizzaro",54.51,55.5,-99.73,
1005,"Cannon",57.58,19.88,81.36,
1008,"Cantor",75.72,38.04,118.69,
1011,"Capella",48.13,-7.65,34.92,
1014,"Capuanus",59.69,-34.09,-26.73,
1016,"Cardanus",49.57,13.27,-72.5,
1018,"Carlini",10.66,33.75,-24.12,
1019,"Carlos",4.67,24.91,2.28,
1022,"Carmichael",19.73,19.53,40.36,
1023,"Carnot",126.06,52.09,-144.2,
1024,"Carol",6.25,8.48,122.37,
1026,"Carpenter",59.06,69.52,-51.23,
1029,"Carrel",15.59,10.67,26.68,
1031,"Carrillo",17.85,-2.11,80.96,
1032,"Carrington",27.77,43.97,62.04,
1035,"Cartan",15.62,4.24,59.29,
1038,"Carver",62.45,-43.46,127.6,
1040,"Casatus",102.85,-72.7,-30.75,
1044,"Cassegrain",56.66,-51.95,113.3,
1045,"Cassini",56.88,40.25,4.64,
1053,"Catalán",26.77,-45.7,-87.37,
1055,"Catena Abulfeda",209.97,-16.59,16.7,
1056,"Catena Artamonov",131.21,26.09,105.77,
1057,"Catena Brigitte",7.65,18.5,27.49,
1058,"Catena Davy",52.34,-10.98,-6.27,
1059,"Catena Dziewulski",80.66,18.78,100.27,
1060,"Catena Gregory",148.16,-0.59,129.8,
1061,"Catena Humboldt",162.29,-21.98,84.7,
1062,"Catena Krafft",55.11,14.91,-72.25,
1063,"Catena Kurchatov",234.91,37.25,136.6,
1064,"Catena Leuschner (GDL)",200.06,5.07,-111.3,
1065,"Catena Littrow",10.3,22.23,29.61,
1066,"Catena Lucretius (RNII)",232.07,-4.03,-126.45,
1067,"Catena Mendeleev",125.22,6.63,139.22,
1068,"Catena Michelson (GIRD)",450.6,-0.44,-113.58,
1069,"Catena Pierre",9.44,19.76,-31.86,
1070,"Catena Sumner",220.52,37.89,111.91,
1071,"Catena Sylvester",139,79.99,-83.12,
1072,"Catena Taruntius",69.24,3.04,48.71,
1073,"Catena Timocharis",48.37,29.09,-13.21,
1074,"Catena Yuri",4.52,24.41,-30.38,
1076,"Catharina",98.77,-17.98,23.55,
1081,"Cauchy",11.8,9.56,38.63,
1083,"Cavalerius",59.35,5.1,-66.93,
1086,"Cavendish",52.64,-24.63,-53.78,
1087,"Caventou",2.8,29.74,-29.38,
1093,"Cayley",14.2,3.94,15.09,
1098,"Celsius",38.96,-34.1,20.05,
1099,"Censorinus",4.1,-0.42,32.69,
1102,"Cepheus",39.43,40.68,45.78,
1117,"Chacornac",50.44,29.88,31.67,
1118,"Chadwick",29.74,-52.85,-101.34,
1120,"Chaffee",51.75,-39.06,-154.63,
1126,"Challis",53.21,79.58,9.09,
1127,"Chalonge",25.08,-20.44,-116.35,
1129,"Chamberlin",60.41,-58.83,96.04,
1131,"Champollion",48.97,37.39,175.03,
1132,"Chandler",88.6,43.65,171.76,
1133,"Chang Heng",42.65,18.9,112.21,
1135,"Chang-Ngo",2.34,-12.69,-2.16,
1138,"Chant",33.6,-40.14,-109.46,
1143,"Chaplygin",123.39,-5.76,150.24,
1144,"Chapman",76.83,50.09,-100.47,
1145,"Chappe",55.79,-61.29,-91.24,
1146,"Chappell",73.92,54.53,-176.77,
1151,"Charles",1.34,29.9,-26.37,
1153,"Charlier",109.88,36.22,-131.69,
1163,"Chaucer",45.48,3.39,-140.71,
1165,"Chauvenet",77.67,-11.64,137.2,
1167,"Chebyshev",179.05,-34.01,-132.88,
1173,"Chernyshev",59.31,47.01,174.41,
1176,"Chevallier",51.83,45.01,51.57,
1184,"Ching-Te",3.7,20.02,29.97,
1190,"Chladni",13.07,3.99,1.12,
1200,"Vallis Christel",2.1,24.54,11.08,
1206,"Chrétien",98.63,-46.11,162.99,
1214,"Cichus",39.18,-33.29,-21.18,
