Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
532,"Babakin",76.66,-36,-71.44,
539,"Bacht",7.86,18.66,102.7,
544,"Bacolor",21.58,32.99,118.6,
546,"Bada",2.52,20.35,-50.69,
551,"Baetis Chasma",92.21,-4.29,-64.87,
552,"Baetis Mensa",181.1,-5.17,-72.45,
557,"Bahn",11.93,-3.5,-43.32,
558,"Bahram Vallis",269.68,20.42,-57.14,
563,"Bak",3.13,18.05,103.78,
566,"Bakhuysen",152.9,-22.97,15.73,
571,"Balboa",21.95,-3.82,-33.88,
575,"Baldet",181.31,22.76,65.48,
582,"Balta",17.28,-23.82,-26.55,
583,"Baltia",0,59.71,-50,
585,"Baltisk",50.75,-42.27,-54.66,
586,"Balvicar",20.35,16.2,-53.24,
588,"Bamba",22.57,-3.36,-41.59,
589,"Bamberg",55.7,39.71,-3.1,
595,"Banff",5,17.51,-30.71,
596,"Banh",14.4,19.42,-55.5,
599,"Baphyras Catena",95.52,38.83,-84.16,
600,"Bar",2.06,-25.25,-19.5,
601,"Barabashov",120.67,47.33,-68.75,
609,"Barnard",121.11,-61.06,61.59,
612,"Baro",16.93,-24.8,110.7,
620,"Barsukov",68.45,7.97,-29.02,
629,"Basin",15.53,17.82,107,
637,"Batoka",14.96,-7.55,-36.65,
638,"Batoş",17.33,21.5,-29.5,
647,"Baykonyr",3.9,46.41,132.68,
648,"Bazas",16.43,-27.78,93.38,
655,"Becquerel",165.23,21.89,-7.94,
659,"Beer",85.5,-14.47,-8.17,
680,"Beltra",7.17,18.01,102.4,
683,"Belz",10.21,21.57,-43.23,
687,"Bend",3.7,-22.4,-27.74,
693,"Bentham",11.36,-55.78,-40.55,
694,"Bentong",10.32,-22.31,-19.04,
705,"Bernard",128.1,-23.24,-154.21,
712,"Berseba",36.83,-4.4,-37.6,
730,"Bhor",5.73,41.75,134.53,
735,"Bianchini",70.71,-63.85,-95.29,
737,"Biblis Patera",53.65,2.36,-123.82,
741,"Bigbee",20.86,-24.78,-34.75,
751,"Bira",2.7,25.1,-45.54,
757,"Bise",9.21,20.22,-56.83,
758,"Bison",15.28,-26.31,-29.15,
760,"Bjerknes",88.64,-43.01,171.48,
771,"Bland",6.63,18.3,108.76,
774,"Bled",7.69,21.58,-31.46,
777,"Blitta",12.95,-25.9,-20.96,
780,"Blois",11.58,23.6,-55.85,
781,"Bluff",6.75,23.47,110.03,
791,"Boeddicker",107.12,-14.82,162.49,
795,"Bogra",21.31,-24.16,-28.8,
801,"Bok",7.34,20.58,-31.6,
802,"Bole",8.54,25.35,-53.99,
807,"Bombala",37.14,-27.6,106.13,
811,"Bond",104.69,-32.79,-35.94,
814,"Bonestell",40.67,42,-30.39,
819,"Bor",4.28,18.17,-33.68,
821,"Bordeaux",2.01,23.13,-48.89,
825,"Boreosyrtis",0,54.68,70,
830,"Boru",10.87,-24.34,-27.87,
834,"Bosporos Planum",729.58,-33.87,-64.49,
835,"Bosporos Rupes",531.42,-42.74,-57.55,
840,"Bouguer",107.78,-18.46,27.27,
842,"Boulia",9.99,-22.89,111.32,
853,"Bozkir",79.89,-44.14,-32.18,
865,"Brashear",77.45,-53.81,-119.03,
867,"Brazos Valles",387.51,-6.08,18.7,
872,"Bremerhaven",2.69,23.7,-48.64,
876,"Briault",93.06,-9.98,89.68,
878,"Bridgetown",1.57,21.9,-47.08,
884,"Bristol",3,22.09,-46.93,
886,"Broach",11.31,23.51,-56.89,
888,"Bronkhorst",17.75,-10.7,-55.21,
901,"Brush",6.49,21.7,111.34,
915,"Bulhar",18.24,50.36,134.52,
919,"Bunge",70.83,-33.82,-48.59,
928,"Burroughs",112.69,-72.29,117.1,
929,"Burton",119.26,-13.88,-156.33,
931,"Buta",11.27,-23.25,-32.41,
936,"Butte",12.55,-5.08,-38.91,
938,"Buvinda Vallis",134.17,33.17,151.96,
942,"Byrd",123.27,-65.22,127.83,
945,"Byske",12.56,-4.97,-33.95,
961,"Cairns",8.73,23.56,-47.46,
966,"Calahorra",34.22,26.46,-38.65,
969,"Calamar",7.21,18.27,-54.87,
970,"Calbe",13.14,-25.14,-28.87,
981,"Calydon Fossa",351.25,-7.43,-87.98,
982,"Camargo",4.77,17.7,109.64,
987,"Camiling",21.91,-0.71,-38,
988,"Camiri",31.36,-44.65,-42.17,
991,"Campbell",125.26,-54.25,165.58,
992,"Campos",8.25,-21.8,-27.81,
995,"Can",8.62,48.21,-14.59,
996,"Canaveral",3.18,46.83,135.83,
997,"Canberra",3.1,47.2,132.66,
998,"Candor",0,2.96,-75,
999,"Candor Chaos",0,-6.94,-72.58,
1000,"Candor Chasma",810.61,-6.53,-70.78,
1001,"Candor Labes",134.94,-4.79,-75.99,
1002,"Candor Mensa",116.56,-6.26,-73.52,
1003,"Cangwu",13.64,41.85,-89.59,
1006,"Canso",26.42,21.36,-60.62,
1009,"Cantoura",51.59,14.84,-51.72,
1012,"Capri Chasma",1471.56,-8.27,-42.07,
1013,"Capri Mensa",282.35,-13.73,-47.19,
1034,"Cartago",36.57,-23.25,-17.97,
1041,"Casius",0,39.67,100,
1046,"Cassini",408.23,23.35,32.11,
1051,"Castril",2.19,-14.7,175.3,
1084,"Cave",8.2,21.61,-35.64,
1088,"Cavi Angusti",640.04,-78.16,-74.75,
1091,"Caxias",25.88,-28.95,-100.68,
1094,"Cañas",41.52,-31.19,89.86,
1095,"Cebrenia",0,49.67,150,
1096,"Cecropia",0,59.71,40,
1100,"Centauri Montes",271,-38.67,95.52,
1103,"Ceraunius",0,19.78,-93,
1104,"Ceraunius Catena",50.49,37.1,-108.09,
1105,"Ceraunius Fossae",1166.63,27,-110.15,
1106,"Ceraunius Tholus",128.58,24,-97.25,
1107,"Cerberus",0,14.83,155,
1108,"Cerberus Dorsa",623.05,-13.74,105.29,
1109,"Cerberus Fossae",1235,11.28,166.37,
1112,"Cerulli",114.28,32.2,22.12,
1114,"Ceti Chasma",49.77,-5.03,-68.37,
1115,"Ceti Mensa",133.95,-5.89,-76.02,
1119,"Chafe",4.67,15.1,102.41,
